,losses,epsilons
0,"(0.4973534941673279, array(0.99017024, dtype=float32))",0.9999040635566536
1,"(0.5052215456962585, array(1.0133107, dtype=float32))",0.9998081363171083
2,"(0.5034032464027405, array(1.0350409, dtype=float32))",0.9997122182804811
3,"(0.5040392279624939, array(1.0619814, dtype=float32))",0.9996163094458892
4,"(0.49111467599868774, array(1.0635072, dtype=float32))",0.9995204098124498
5,"(0.48178818821907043, array(1.0792975, dtype=float32))",0.9994245193792802
6,"(0.4856860637664795, array(1.0734667, dtype=float32))",0.9993286381454977
7,"(0.46003633737564087, array(1.0850985, dtype=float32))",0.9992327661102197
8,"(0.5138300657272339, array(1.1424526, dtype=float32))",0.9991369032725639
9,"(0.5033966302871704, array(1.1600428, dtype=float32))",0.9990410496316476
10,"(0.4907953143119812, array(1.177355, dtype=float32))",0.9989452051865889
11,"(0.5097150802612305, array(1.1953915, dtype=float32))",0.9988493699365052
12,"(0.48852992057800293, array(1.1978536, dtype=float32))",0.9987535438805146
13,"(0.5135131478309631, array(1.2228253, dtype=float32))",0.998657727017735
14,"(0.505547285079956, array(1.2515198, dtype=float32))",0.9985619193472844
15,"(0.48186373710632324, array(1.2342651, dtype=float32))",0.998466120868281
16,"(0.4648098647594452, array(1.2458429, dtype=float32))",0.998370331579843
17,"(0.46627017855644226, array(1.2398744, dtype=float32))",0.9982745514810886
18,"(0.49014097452163696, array(1.2842197, dtype=float32))",0.9981787805711362
19,"(0.4570927023887634, array(1.3122205, dtype=float32))",0.9980830188491042
20,"(0.43260282278060913, array(1.2709489, dtype=float32))",0.9979872663141113
21,"(0.46223750710487366, array(1.3008254, dtype=float32))",0.9978915229652761
22,"(0.4464400112628937, array(1.3363559, dtype=float32))",0.9977957888017172
23,"(0.44231367111206055, array(1.3637266, dtype=float32))",0.9977000638225534
24,"(0.4451056718826294, array(1.343161, dtype=float32))",0.9976043480269037
25,"(0.4460756182670593, array(1.3951509, dtype=float32))",0.9975086414138871
26,"(0.44257935881614685, array(1.3820752, dtype=float32))",0.9974129439826224
27,"(0.4508123993873596, array(1.430167, dtype=float32))",0.997317255732229
28,"(0.438157856464386, array(1.4153905, dtype=float32))",0.9972215766618259
29,"(0.4648725688457489, array(1.4370959, dtype=float32))",0.9971259067705326
